file,line,source,interpretation
cpp/bc_native/bc_engine.cpp,418,"double nextsnapshot=0;int solveevery=static_cast<int>(electrical_step_nearest),executed=0;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,420,"double initial_lp_mass=p.m_lp*p.lp0,initial_pva_mass=p.m_pva*p.pva0;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,421,"double initialmass=initial_lp_mass+initial_pva_mass,xi=mn(p.lp0/1.45,p.pva0);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,432,"double thermal_cfl_tolerance=64*std::numeric_limits<double>::epsilon()*std::max(1.,p.thermal_cfl_safety);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,440,double step_dt=step==steps-1?end-step_start:p.dt;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,441,double t=step==steps-1?end:step_start+step_dt;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_engine.cpp,518,double remaining_mass_tolerance=128*std::numeric_limits<double>::epsilon();,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_ops_cpu.cpp,24,"const int64_t*cp=ci.data_ptr<int64_t>();const bool*ap=an.data_ptr<bool>(),*act=a.data_ptr<bool>();const double*sp=s.data_ptr<double>(),*tp=tr.data_ptr<double>(),*vp=v.data_ptr<double>();double*op=out.data_ptr<double>();",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,15,"constexpr int NS=10, NP=8, ND=9, NCONTACT=9;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,24,"struct Property { int mode=0,offset=0,size=0; double value=0,tref=298.15,ea=0; };",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,25,"struct Kinetic { int offset=0,size=0; double heat=0; };",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,26,"struct Channel {double eq=0,j0=0,alpha=.5,n=1,reverse=1,heat=0,stoich=0;};",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,30,"double R=8.314462618,F=96485.33212,zp=1,zm=-1,dx=1,dt=.00025;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,31,"double sigma_min=1e-4,sigma_max=.5,initial_T=298.15,ambient=298.15;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,32,"double cp0=0,cm0=0,water0=0,lp0=0,pva0=0,m_lp=0,m_pva=0,density=1000;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,33,"double w1=2./3,w2=1./3,rate_max=1000,layer=.001;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,34,"double min_T=200,max_T=3000,convection=0,emissivity=0,sb=5.670374419e-8;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,35,"double min_fraction=1e-6,max_multiple=2,max_delta=.05,lim_rtol=1e-7,conc_floor=1e-12;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,36,"double cathode=0,exp_limit=45,local_abs=.01,local_rel=1e-4,roundoff=2;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,37,"double conductivity_floor=1e-12,slope_floor=1e-12,contact_normal=3e-5;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,38,double thermal_cfl_safety=1;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,94,"BC_HD double lookup(double x,const double* table,int offset,int n,int yrow=1){",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,107,"double ea=lookup(a,table,k.offset,k.size,1),g=lookup(a,table,k.offset,k.size,2);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,112,"double T=mx(s[i],1.);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,113,"double dp=property(T,p.prop[0],table,p.R),dm=property(T,p.prop[1],table,p.R),dw=property(T,p.prop[2],table,p.R);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,114,"double si=p.F*p.F/(p.R*T)*(p.zp*p.zp*dp*mx(s[total+i],0.)+p.zm*p.zm*dm*mx(s[2*total+i],0.));",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,115,"double se=p.augmented?property(T,p.prop[3],table,p.R):0;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,139,"double scale=mx(mx(abs_fp64(raw),abs_fp64(d)),mx(abs_fp64(old),lower));",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,141,double delta_error=abs_fp64(d-raw);,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,149,"double bound_scale=mx(mx(abs_fp64(nu),abs_fp64(ru)),lower);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,151,double bound_error=abs_fp64(nu-ru);,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,174,"double T=s[i],a1=s[4*total+i],a2=s[5*total+i],oldx=s[6*total+i];",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,175,"double r1=kinetic(a1,T,p.kin[0],table,p.R),r2=kinetic(a2,T,p.kin[1],table,p.R);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,177,"double proposed_a1=clamp(a1+p.dt*r1,0,1),proposed_a2=clamp(a2+p.dt*r2,0,1);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,178,"double proposed_da1=mx(proposed_a1-a1,0),proposed_da2=mx(proposed_a2-a2,0);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,179,"double dc=0,da=0,dw=0,conduct=0,thermal_face_sum=0;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,183,"double kface=harmonic(tr[7*total+i],tr[7*total+q]);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,187,"double tf=mx(.5*(T+s[q]),1.),dv=s[7*total+q]-s[7*total+i];",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,188,"double hp=harmonic(tr[i],tr[q]),hm=harmonic(tr[total+i],tr[total+q]),hw=harmonic(tr[2*total+i],tr[2*total+q]);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,198,"double nc=limit_update(s[total+i],dc,p.cp0,p,lc),na=limit_update(s[2*total+i],da,p.cm0,p,la);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,199,"double transported_water=limit_update(s[3*total+i],dw,p.water0,p,lw);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,200,double neutral=.5*(nc+na);,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,201,"double lp_floor=mx(p.conc_floor,p.min_fraction*mx(p.cp0,p.cm0));",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,202,"double water_floor=mx(p.conc_floor,p.min_fraction*p.water0);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,204,"double requested_ec_lp=mx(heat[2*total+i]*p.dt,0);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,205,"double accepted_ec_lp=mn(requested_ec_lp,mx(neutral-lp_floor,0));",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,211,"double requested_ec_water=mx(heat[3*total+i]*p.dt,0);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,212,"double accepted_ec_water=mn(requested_ec_water,mx(transported_water-water_floor,0));",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,215,double lp_acceptance=requested_ec_lp>0?accepted_ec_lp/requested_ec_lp:1;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,216,double water_acceptance=requested_ec_water>0?accepted_ec_water/requested_ec_water:1;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,219,double accepted_echem_heat=heat[5*total+i]*water_acceptance+heat[6*total+i]*lp_acceptance;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,221,"double xi_max=mn(p.lp0/1.45,p.pva0);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,222,double proposed_dx=p.w1*proposed_da1+p.w2*proposed_da2;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,224,"double pva_remaining=mx(p.pva0-xi_max*oldx,0);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,225,"double maximum_dxi=mn(mx(neutral-lp_floor,0)/1.45,pva_remaining);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,229,"double xi_scale=proposed_dxi>0?clamp(maximum_dxi/proposed_dxi,0,1):1;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,230,"double accepted_da1=proposed_da1*xi_scale,accepted_da2=proposed_da2*xi_scale;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,231,"double na1=a1+accepted_da1,na2=a2+accepted_da2;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,232,"double nx=clamp(p.w1*na1+p.w2*na2,0,1);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,233,"double progress_increment=mx(nx-oldx,0),accepted_dxi=xi_max*progress_increment;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,241,"double accepted_r1=accepted_da1/p.dt,accepted_r2=accepted_da2/p.dt;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,242,double chem_energy=p.density*(p.kin[0].heat*accepted_da1+p.kin[1].heat*accepted_da2);,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,243,"double loss=p.convection/p.layer*(T-p.ambient)+p.emissivity*p.sb/p.layer*(pow_fp64(T,4)-pow_fp64(p.ambient,4));",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,245,double thermal_capacity=p.density*tr[6*total+i];,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,267,"eta=mx(eta,0);double kf=c.alpha*c.n*p.F/(p.R*T),kr=(1-c.alpha)*c.n*p.F/(p.R*T);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,268,"double rf=kf*eta,rr=-kr*eta,ef=exp_fp64(clamp(rf,-p.exp_limit,p.exp_limit)),er=exp_fp64(clamp(rr,-p.exp_limit,p.exp_limit));",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,269,double j=c.j0*(cf*ef-(p.full_bv?c.reverse*er:0));,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,270,double d=c.j0*(cf*ef*kf*((rf>-p.exp_limit&&rf<p.exp_limit&&eta>0)?1:0),C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,277,"Channel w=p.ch[an?0:1],l=p.ch[an?2:3];double ew=mx(gap-w.eq,0),el=mx(gap-l.eq,0);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,279,"double j=bw.j+bl.j,jb=G*mx(drop-gap,0),slope=bw.d+bl.d+G;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,280,"double physical=mn(p.local_abs>0?p.local_abs:DBL_MAX,p.local_rel>0?p.local_rel*mx(mx(abs_fp64(j),abs_fp64(jb)),1.):DBL_MAX);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,281,"double roundoff=.5*p.roundoff*DBL_EPSILON*(mx(abs_fp64(gap),1.)*abs_fp64(slope)+mx(abs_fp64(drop),1.)*abs_fp64(G));",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,292,"double T=mx(s[i],1.),wf=p.water0>0?clamp(s[3*total+i]/p.water0,0,1):0,",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,296,"double G=mx(tr[5*total+i]/p.contact_normal,p.conductivity_floor/p.contact_normal);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,297,"double drop=mx(an?volts[b]-s[7*total+i]:s[7*total+i]-p.cathode,0),lo=0,hi=drop,gap=.5*drop;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,316,out[5*count+f]=double(used);out[6*count+f]=r.ew;out[7*count+f]=r.el;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,333,"double ex=-grad_dir(s+7*total,prop,i,i+1,i-1,col<p.n-1,col>0,p.dx);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,334,"double ey=-grad_dir(s+7*total,prop,i,i+p.n,i-p.n,row<p.n-1,row>0,p.dx);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,335,"double jdx=0,jdy=0;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,342,"double jx=tr[5*total+i]*ex+jdx,jy=tr[5*total+i]*ey+jdy;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,343,"double jm=sqrt_fp64(jx*jx+jy*jy),heat=0,rhs=0;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,351,int64_t j=nb[d];double eface=-(s[7*total+j]-s[7*total+i])/p.dx;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,352,"double johm=harmonic(tr[5*total+i],tr[5*total+j])*eface,jdiff=0;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/bc_scalar.h,371,"double v=coeff[i]*x[i];int64_t j=i%(int64_t(n)*n);int r=int(j/n),c=int(j%n);",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/standalone.cpp,33,"constexpr const char* standard=""C++20"";",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/bc_native/standalone.cpp,35,"constexpr const char* standard=""C++17"";",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,22,double domain = 0.020;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,23,double layer = 0.001;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,24,double voltage = 260.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,25,double cathode_voltage = 0.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,26,double dt = 2.5e-4;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,27,double end_time = 2.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,28,double eval_time = 2.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,29,double electrical_interval = 2.5e-3;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,30,double ignition_T = 622.15;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,31,double ignition_progress_guard = 0.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,32,double ignition_rate_guard = 0.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,36,double density = 1261.36;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,37,double cation0 = 3000.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,38,double anion0 = 3000.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,39,double water0 = 30000.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,40,double lp0 = 3000.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,41,double glycerol_pva_ratio = 0.5;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,42,double boric_pva_ratio = 0.1;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,43,double effective_softening_T = 355.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,46,double R = 8.314462618;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,47,double F = 96485.33212;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,48,double zplus = 1.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,49,double zminus = -1.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,50,"double Dp_dry = 5e-15, Dm_dry = 3e-15;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,51,"double Dp_wet = 2e-13, Dm_wet = 1.5e-13;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,52,double Dw0 = 2e-10;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,53,"double Ea_Dp = 22000.0, Ea_Dm = 25000.0;",C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,54,double Tref = 298.15;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,55,double liquid_D_gain = 120.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,56,double water_activity_exp = 1.2;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,57,double glycerol_gain = 1.5;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,58,double crosslink_penalty = 0.8;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,59,double concentration_min_fraction = 1e-6;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,60,double concentration_max_multiple = 2.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,61,double electroneutral_relax = 1.0;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,62,double max_relative_concentration_change = 0.05;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,66,double sigma_e0 = 0.001;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,67,double sigma_e_temp_coeff = 0.006;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
cpp/ecsp_cpp_solver.cpp,68,double sigma_e_liquid_suppression = 0.98;,C++ 선언/조회 정규식 인덱스; 모든 C++ 표현식의 의미 분석은 아님
