ID,물리항목,계산식,정립성,활성경로,논문_코드근거,적용한계
P21,내부 반응경계,φr=Xfront−X; Γr={X=Xfront}; signed distance 재구성,결과의 기하학적 정의/진단,새 Reactive/기존 propagation,python/ecsp_reactive/condensed/solver.py:297-379; python/ecsp_nsga2/propagation.py:605-660,Xfront=.5는 운영 기준. 실제 외곽 material interface/ablation EOS분할이 아님
P22,원 논문 material level set,∂tψ+u∂xψ+v∂yψ=0,수동 경계 이류식,독립 paper-reference만,"첨부 논문 B: KSPE 28(3), 2024, 31–40; DOI 10.6108/KSPE.2024.28.3.031 식(4); python/ecsp_reactive/level_set.py",신규 2-channel 반응경계는 이 식을 독립 적분하지 않음
P23,초기 혼합물 밀도·농도,ρmix=(Σmi)/(Σmi/ρi); ci=(mi/Mi)/V,부피 가산·완전 해리 근사,조성 초기화,python/ecsp_v6/composition.py:60-134,기공/수축/비이상체적/염 해리도 미해석; 실제 경화 밀도 측정 권장
N01,유한체적/공간·시간 적분,"harmonic face k, WENO5-JS, HLLC(or HLL), SSPRK(3,3)",수치해법; 물리법칙 아님,새 Reactive,python/ecsp_reactive/condensed/finite_volume.py; python/ecsp_reactive/condensed/solver.py:166-181,"음성면 1차 donor fallback, 거부 후 dt/2. 상수 목적·수치 제한과 물성을 구별"
D01,전선 유효 속도,veff = ΔA/(Lbar_front Δt),반응면적 기반 진단 정의,두 후속,python/ecsp_nsga2/propagation.py:557-602,실험적 표면 후퇴율/국부 법선 연소속도와 동일 아님; lab-frame 지표
D02,전선 불균일도,CV(tarrival | observed) + (1−arrival coverage),운영상 평가 proxy,두 후속,python/ecsp_nsga2/propagation.py:521-541; python/ecsp_reactive/condensed/solver.py:297-379,관측되지 않은 셀에 coverage penalty. 물리 PDE 아님
D03,전류집중/추천 순위,CJ=J99/mean(J); Pareto sorting; normalized utopia distance,최적화·진단 정의,NSGA-II,python/ecsp_nsga2/nsga2.py; python/ecsp_nsga2/workflow.py,CJ는 절연파괴 모델 아님. 단일 추천은 정규화/선호 의존
L01,구형 연화·전도 승수,"fliq,fast; Ddry/Dwet mixture × water/GLY/BA/fast-ion factors",경험 proxy,기존 모델만,python/ecsp_v6/physics/electrochem.py:72-165,BC 전자/액상/조성 승수 비활성; 일반적인 고체–액체 상변화 해석 아님
L02,구형 단일 분해,r=Aexp(−Ea/RT)(1−α)^n oxidizer^m sigmoid((T−Tact)/20K),Arrhenius에 임의 gate 추가,기존 모델만,python/ecsp_v6/physics/coupled.py,BC 2-channel에는 해당 sigmoid/A/E/n 미사용
L03,구형 blocking/activity,"passivation·gas coverage ODE, extended_debye_huckel_proxy",경험적 폐쇄식,기존 모델만,python/ecsp_v6/physics/electrochem.py:610-663; python/ecsp_v6/physics/electrochem.py:553-577,BC에서 OFF; 계수 보정자료 미제공
